leg,origin_bar,entry_time,entry_price,atr_frozen,momentum_prev,momentum_prev2,vwap_prev,vwap_prev2,upper_barrier,lower_barrier,label,bars_to_label,exit_touch_time
3,102942,2022-02-04 23:45:00,40776.90000000,193.00666667,100.33650651,100.34119045,38020.17652828,38004.61496080,41510.32533333,40532.23860000,1,1,2022-02-04 23:51:00
2,102943,2022-02-04 23:45:00,40776.90000000,193.00666667,100.32489191,100.33650651,38039.48342716,38020.17652828,41510.32533333,40532.23860000,1,1,2022-02-04 23:51:00
1,102944,2022-02-04 23:45:00,40776.90000000,193.00666667,99.77243964,100.32489191,38056.33415823,38039.48342716,41510.32533333,40532.23860000,1,1,2022-02-04 23:51:00
3,102943,2022-02-05 00:00:00,41548.70000000,202.62111111,100.32489191,100.33650651,38039.48342716,38020.17652828,42318.66022222,41299.40780000,0,5,2022-02-05 01:14:00
2,102944,2022-02-05 00:00:00,41548.70000000,202.62111111,99.77243964,100.32489191,38056.33415823,38039.48342716,42318.66022222,41299.40780000,0,5,2022-02-05 01:14:00
3,102944,2022-02-05 00:15:00,41661.50000000,205.03666667,99.77243964,100.32489191,38056.33415823,38039.48342716,42440.63933333,41411.53100000,0,3,2022-02-05 00:54:00
0,102948,2022-02-05 00:30:00,41590.90000000,206.21222222,102.61350211,102.73928687,38221.04462415,38182.59111290,42374.50644444,41341.35460000,0,3,2022-02-05 01:14:00
1,102948,2022-02-05 00:45:00,41675.30000000,209.08444444,102.61350211,102.73928687,38221.04462415,38182.59111290,42469.82088889,41425.24820000,0,1,2022-02-05 00:53:00
2,102948,2022-02-05 01:00:00,41477.90000000,211.19222222,102.61350211,102.73928687,38221.04462415,38182.59111290,42280.43044444,41229.03260000,0,4,2022-02-05 01:46:00
3,102948,2022-02-05 01:15:00,41266.60000000,212.45666667,102.61350211,102.73928687,38221.04462415,38182.59111290,42073.93533333,41019.00040000,0,50,
0,102951,2022-02-05 01:15:00,41266.60000000,212.45666667,101.87579465,102.51201760,38321.57573699,38292.57078819,42073.93533333,41019.00040000,0,50,
1,102951,2022-02-05 01:30:00,41337.10000000,213.59222222,101.87579465,102.51201760,38321.57573699,38292.57078819,42148.75044444,41089.07740000,0,50,
2,102951,2022-02-05 01:45:00,41290.20000000,214.25555556,101.87579465,102.51201760,38321.57573699,38292.57078819,42104.37111111,41042.45880000,0,50,
3,102951,2022-02-05 02:00:00,41236.90000000,214.66000000,101.87579465,102.51201760,38321.57573699,38292.57078819,42052.60800000,40989.47860000,0,50,
0,103015,2022-02-05 17:15:00,40990.90000000,169.07888889,98.94792468,99.69130957,39862.83414328,39837.98039402,41633.39977778,40744.95460000,1,5,2022-02-05 18:22:00
1,103015,2022-02-05 17:30:00,41291.70000000,172.82777778,98.94792468,99.69130957,39862.83414328,39837.98039402,41948.44555556,41043.94980000,0,50,
2,103015,2022-02-05 17:45:00,41413.20000000,173.32111111,98.94792468,99.69130957,39862.83414328,39837.98039402,42071.82022222,41164.72080000,0,50,
3,103015,2022-02-05 18:00:00,41558.00000000,173.95444444,98.94792468,99.69130957,39862.83414328,39837.98039402,42219.02688889,41308.65200000,0,42,2022-02-06 04:17:00
0,103107,2022-02-06 16:15:00,41463.90000000,112.53777778,99.78581004,99.84453926,41503.26618419,41503.21091824,41891.54355556,41215.11660000,1,28,2022-02-06 23:08:00
1,103107,2022-02-06 16:30:00,41548.90000000,111.15777778,99.78581004,99.84453926,41503.26618419,41503.21091824,41971.29955556,41299.60660000,1,27,2022-02-06 23:10:00
2,103107,2022-02-06 16:45:00,41490.90000000,111.82444444,99.78581004,99.84453926,41503.26618419,41503.21091824,41915.83288889,41241.95460000,1,26,2022-02-06 23:10:00
3,103107,2022-02-06 17:00:00,41622.90000000,112.18111111,99.78581004,99.84453926,41503.26618419,41503.21091824,42049.18822222,41373.16260000,1,25,2022-02-06 23:10:00
0,103139,2022-02-07 00:15:00,42070.80000000,128.44111111,101.03904154,101.61501947,41603.66727166,41584.79581561,42558.87622222,41818.37520000,0,1,2022-02-07 00:25:00
1,103139,2022-02-07 00:30:00,41751.10000000,132.94666667,101.03904154,101.61501947,41603.66727166,41584.79581561,42256.29733333,41500.59340000,1,8,2022-02-07 02:21:00
