ticket,signal_time,leg,open_time,close_time,entry_price,exit_price,exit_reason,pl_pct,R,bars_held
24406,2024-12-05 15:45:00,0,2024-12-05 15:45:00,2024-12-05 16:30:00,101468.2000,100859.3908,Stop,-0.6000,-1.0000,3
24407,2024-12-05 15:30:00,1,2024-12-05 15:45:00,2024-12-05 16:30:00,101468.2000,100859.3908,Stop,-0.6000,-1.0000,3
24408,2024-12-05 15:45:00,1,2024-12-05 16:00:00,2024-12-05 16:30:00,101354.2000,100746.0748,Stop,-0.6000,-1.0000,2
24409,2024-12-05 15:30:00,2,2024-12-05 16:00:00,2024-12-05 16:30:00,101354.2000,100746.0748,Stop,-0.6000,-1.0000,2
24410,2024-12-05 15:45:00,2,2024-12-05 16:15:00,2024-12-05 16:30:00,101536.0000,100926.7840,Stop,-0.6000,-1.0000,1
24411,2024-12-05 15:30:00,3,2024-12-05 16:15:00,2024-12-05 16:30:00,101536.0000,100926.7840,Stop,-0.6000,-1.0000,1
24412,2024-12-05 15:45:00,3,2024-12-05 16:30:00,2024-12-05 16:30:00,101375.7000,100767.4458,Stop,-0.6000,-1.0000,0
24413,2024-12-05 16:45:00,0,2024-12-05 16:45:00,2024-12-05 17:15:00,101251.2000,100643.6928,Stop,-0.6000,-1.0000,2
24414,2024-12-05 16:45:00,1,2024-12-05 17:00:00,2024-12-05 18:45:00,101088.4000,100481.8696,Stop,-0.6000,-1.0000,7
24415,2024-12-05 16:45:00,2,2024-12-05 17:15:00,2024-12-05 19:30:00,100683.2000,100079.1008,Stop,-0.6000,-1.0000,9
24416,2024-12-05 16:45:00,3,2024-12-05 17:30:00,2024-12-05 18:45:00,100858.2000,100253.0508,Stop,-0.6000,-1.0000,5
24417,2024-12-05 18:15:00,0,2024-12-05 18:15:00,2024-12-05 18:45:00,101295.2000,100687.4288,Stop,-0.6000,-1.0000,2
24418,2024-12-05 18:15:00,1,2024-12-05 18:30:00,2024-12-05 18:45:00,101107.7000,100501.0538,Stop,-0.6000,-1.0000,1
24419,2024-12-05 18:15:00,2,2024-12-05 18:45:00,2024-12-05 18:45:00,101201.2000,100593.9928,Stop,-0.6000,-1.0000,0
24420,2024-12-05 18:15:00,3,2024-12-05 19:00:00,2024-12-05 19:45:00,100209.7000,99608.4418,Stop,-0.6000,-1.0000,3
24421,2024-12-05 19:45:00,0,2024-12-05 19:45:00,2024-12-05 19:45:00,99768.2000,99169.5908,Stop,-0.6000,-1.0000,0
24422,2024-12-05 19:45:00,1,2024-12-05 20:00:00,2024-12-05 20:00:00,99029.2000,98435.0248,Stop,-0.6000,-1.0000,0
24423,2024-12-05 19:45:00,2,2024-12-05 20:15:00,2024-12-05 20:30:00,98607.2000,98015.5568,Stop,-0.6000,-1.0000,1
24424,2024-12-05 19:45:00,3,2024-12-05 20:30:00,2024-12-05 22:15:00,98334.2000,97744.1948,Stop,-0.6000,-1.0000,7
24425,2024-12-05 21:00:00,0,2024-12-05 21:00:00,2024-12-05 22:15:00,99122.2000,98527.4668,Stop,-0.6000,-1.0000,5
24426,2024-12-05 21:00:00,1,2024-12-05 21:15:00,2024-12-05 22:00:00,99493.7000,98896.7378,Stop,-0.6000,-1.0000,3
24427,2024-12-05 21:00:00,2,2024-12-05 21:30:00,2024-12-05 22:00:00,99297.7000,98701.9138,Stop,-0.6000,-1.0000,2
24428,2024-12-05 21:00:00,3,2024-12-05 21:45:00,2024-12-05 22:15:00,99078.7000,98484.2278,Stop,-0.6000,-1.0000,2
24429,2024-12-06 02:15:00,0,2024-12-06 02:15:00,2024-12-06 20:45:00,97701.7000,101534.7000,Friday,3.9232,6.5386,74
24430,2024-12-06 02:15:00,1,2024-12-06 02:30:00,2024-12-06 03:15:00,97861.7000,97274.5298,Stop,-0.6000,-1.0000,3
24431,2024-12-06 02:15:00,2,2024-12-06 02:45:00,2024-12-06 03:00:00,97942.2000,97354.5468,Stop,-0.6000,-1.0000,1
